ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,State Name [District] 2020-21,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
ALLIANCE JACK H. SKIRBALL MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601694",Los Angeles County,422,18.78,22.47
ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601934",Los Angeles County,613,28.51,21.50
ALLIANCE KORY HUNTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601542",Los Angeles County,467,19.83,23.55
ALLIANCE LEICHTMAN-LEVINE FAM FOUNDATION ENV SCI HIGH DIST,CALIFORNIA,CALIFORNIA,="0601690",Los Angeles County,384,20.86,18.41
ALLIANCE MARC & EVA STERN MATH AND SCIENCE DISTRICT,CALIFORNIA,CALIFORNIA,="0602446",Los Angeles County,601,29.92,20.09
ALLIANCE MARGARET M.BLOOMFIELD TECHNOLOGY ACAD HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601707",Los Angeles County,575,24.81,23.18
ALLIANCE MARINE - INNOVATION AND TECHN 6-12 COMPLEX DISTRICT,CALIFORNIA,CALIFORNIA,="0601835",Los Angeles County,968,38.80,24.95
ALLIANCE MORGAN MCKINZIE HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602407",Los Angeles County,471,22.88,20.59
ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX DISTRICT,CALIFORNIA,CALIFORNIA,="0602266",Los Angeles County,990,41.83,23.67
ALLIANCE PATTI & PETER NEUWIRTH LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602362",Los Angeles County,592,27.57,21.47
ALLIANCE PIERA BARBAGLIA SHAHEEN HLT SRVS ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601900",Los Angeles County,486,22.88,21.24
ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602279",Los Angeles County,507,23.23,21.83
ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602190",Los Angeles County,433,19.39,22.33
ALLIANCE TED K. TAJIMA HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601568",Los Angeles County,444,24.36,18.23
ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602289",Los Angeles County,235,13.57,17.32
ALLIANCE VIRGIL ROBERTS LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601654",Los Angeles County,408,20.00,20.40
ALMA FUERTE PUBLIC DISTRICT,CALIFORNIA,CALIFORNIA,="0602408",Los Angeles County,105,5.00,21.00
ALMOND ACRES CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601943",San Luis Obispo County,306,14.50,21.10
ALPAUGH UNIFIED,California,CALIFORNIA,="0602010",Tulare County,332,17.06,19.46
ALPHA CINDY AVITIA HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601636",Santa Clara County,515,31.01,16.61
ALPHA: BLANCA ALVARADO DISTRICT,CALIFORNIA,CALIFORNIA,="0602221",Santa Clara County,360,15.00,24.00
ALPHA: CORNERSTONE ACADEMY PREPARATORY DISTRICT,CALIFORNIA,CALIFORNIA,="0601671",Santa Clara County,521,21.00,24.81
ALPHA: JOSE HERNANDEZ DISTRICT,CALIFORNIA,CALIFORNIA,="0602144",Santa Clara County,378,16.60,22.77
ALPINE COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691058",Alpine County,="0",="0.00",†
ALPINE COUNTY UNIFIED,California,CALIFORNIA,="0602070",Alpine County,73,11.00,6.64
ALPINE UNION ELEMENTARY,California,CALIFORNIA,="0602100",San Diego County,1532,69.30,22.11
ALTA LOMA ELEMENTARY,California,CALIFORNIA,="0602160",San Bernardino County,5659,228.50,24.77
ALTA VISTA ELEMENTARY,California,CALIFORNIA,="0602220",Tulare County,515,25.00,20.60
ALTA VISTA INNOVATION HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601625",San Bernardino County,2068,67.31,30.72
ALTA-DUTCH FLAT UNION ELEMENTARY,California,CALIFORNIA,="0602250",Placer County,82,4.50,18.22
ALTERNATIVES IN ACTION DISTRICT,CALIFORNIA,CALIFORNIA,="0601635",Alameda County,167,8.10,20.62
ALUM ROCK UNION ELEMENTARY,California,CALIFORNIA,="0602310",Santa Clara County,8652,407.61,21.23
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,CALIFORNIA,="0602360",Madera County,364,17.00,21.41
ALVINA ELEMENTARY,California,CALIFORNIA,="0602370",Fresno County,185,9.00,20.56
ALVORD UNIFIED,California,CALIFORNIA,="0602430",Riverside County,17682,776.31,22.78
AMADOR COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691001",Amador County,25,2.00,12.50
AMADOR COUNTY ROP,California,CALIFORNIA,="0600089",Amador County,="0",–,–
AMADOR COUNTY UNIFIED,California,CALIFORNIA,="0602450",Amador County,3889,193.39,20.11
AMBASSADOR PHILLIP V. SANCHEZ II PUBLIC CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602167",Fresno County,245,9.76,25.10
AMERICA'S FINEST CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601468",San Diego County,457,27.50,16.62
AMERICAN INDIAN PUBLIC CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601479",Alameda County,240,10.04,23.90
AMERICAN INDIAN PUBLIC CHARTER II DISTRICT,CALIFORNIA,CALIFORNIA,="0601880",Alameda County,659,35.77,18.42
AMERICAN INDIAN PUBLIC HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602227",Alameda County,446,16.55,26.95
AMERICAN RIVER COLLEGIATE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602541",Sacramento County,27,2.44,11.07
ANAHEIM ELEMENTARY,California,CALIFORNIA,="0602610",Orange County,15612,658.93,23.69
ANAHEIM UNION HIGH,California,CALIFORNIA,="0602630",Orange County,29183,1203.57,24.25
ANAHUACALMECAC INTERNATIONAL UNIV PREP N. AMERICA DISTRICT,CALIFORNIA,CALIFORNIA,="0601925",Los Angeles County,268,16.10,16.65
ANDERSON UNION HIGH,California,CALIFORNIA,="0602700",Shasta County,1619,83.25,19.45
ANDERSON VALLEY UNIFIED,California,CALIFORNIA,="0602730",Mendocino County,434,28.80,15.07
ANIMO CITY OF CHAMPIONS CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602307",Los Angeles County,353,22.11,15.97
ANIMO COMPTON CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602187",Los Angeles County,222,11.36,19.54
ANIMO ELLEN OCHOA CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601658",Los Angeles County,336,17.00,19.76
ANIMO FLORENCE-FIRESTONE CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602096",Los Angeles County,428,21.67,19.75
ANIMO INGLEWOOD CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602471",Los Angeles County,635,31.21,20.35
ANIMO JACKIE ROBINSON HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601657",Los Angeles County,634,30.21,20.99
