ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,State Name [District] 2020-21,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
ROCKETSHIP DISCOVERY PREP DISTRICT,CALIFORNIA,CALIFORNIA,="0601621",Santa Clara County,521,18.00,28.94
ROCKETSHIP FUERZA COMMUNITY PREP DISTRICT,CALIFORNIA,CALIFORNIA,="0602379",Santa Clara County,631,18.00,35.06
ROCKETSHIP FUTURO ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602162",Contra Costa County,614,18.00,34.11
ROCKETSHIP LOS SUENOS ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602191",Santa Clara County,452,17.00,26.59
ROCKETSHIP MATEO SHEEDY ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0601782",Santa Clara County,511,17.00,30.06
ROCKETSHIP MOSAIC ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0602444",Santa Clara County,616,18.00,34.22
ROCKETSHIP REDWOOD CITY DISTRICT,CALIFORNIA,CALIFORNIA,="0601793",San Mateo County,311,10.00,31.10
ROCKETSHIP RISING STARS DISTRICT,CALIFORNIA,CALIFORNIA,="0601729",Santa Clara County,616,17.00,36.24
ROCKETSHIP SI SE PUEDE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601536",Santa Clara County,379,11.00,34.45
ROCKETSHIP SPARK ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602087",Santa Clara County,625,18.00,34.72
ROCKFORD ELEMENTARY,California,CALIFORNIA,="0633270",Tulare County,320,14.00,22.86
ROCKLIN ACADEMY AT MEYERS STREET DISTRICT,CALIFORNIA,CALIFORNIA,="0601674",Placer County,140,7.39,18.94
ROCKLIN ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602312",Placer County,398,14.55,27.35
ROCKLIN ACADEMY GATEWAY DISTRICT,CALIFORNIA,CALIFORNIA,="0602268",Placer County,1155,50.93,22.68
ROCKLIN UNIFIED,California,CALIFORNIA,="0600013",Placer County,11405,516.08,22.10
ROCKY POINT CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602463",Shasta County,160,9.00,17.78
ROMOLAND ELEMENTARY,California,CALIFORNIA,="0633390",Riverside County,4064,172.77,23.52
ROSEDALE UNION ELEMENTARY,California,CALIFORNIA,="0633480",Kern County,5762,262.01,21.99
ROSELAND,California,CALIFORNIA,="0633510",Sonoma County,1435,58.00,24.74
ROSELAND CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602334",Sonoma County,1438,66.14,21.74
ROSEMEAD ELEMENTARY,California,CALIFORNIA,="0633570",Los Angeles County,2341,109.00,21.48
ROSEVILLE CITY ELEMENTARY,California,CALIFORNIA,="0633600",Placer County,11008,506.00,21.75
ROSEVILLE JOINT UNION HIGH,California,CALIFORNIA,="0633630",Placer County,10627,472.73,22.48
ROSS ELEMENTARY,California,CALIFORNIA,="0633660",Marin County,376,25.70,14.63
ROSS VALLEY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602234",Marin County,203,9.00,22.56
ROSS VALLEY ELEMENTARY,California,CALIFORNIA,="0600006",Marin County,1764,90.20,19.56
ROUND VALLEY JOINT ELEMENTARY,California,CALIFORNIA,="0633690",Inyo County,61,5.00,12.20
ROUND VALLEY UNIFIED,California,CALIFORNIA,="0633720",Mendocino County,433,24.58,17.62
ROWLAND UNIFIED,California,CALIFORNIA,="0633750",Los Angeles County,12741,542.15,23.50
SACRAMENTO CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602303",Sacramento County,418,22.00,19.00
SACRAMENTO CITY UNIFIED,California,CALIFORNIA,="0633840",Sacramento County,40711,1765.33,23.06
SACRAMENTO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691027",Sacramento County,963,66.70,14.44
SACRAMENTO COUNTY ROP,California,CALIFORNIA,="0600095",Sacramento County,="0",–,–
SACRAMENTO VALLEY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602065",Yolo County,276,17.50,15.77
SADDLEBACK VALLEY UNIFIED,California,CALIFORNIA,="0633860",Orange County,24954,1021.84,24.42
SAGE OAK CHARTER - SOUTH DISTRICT,CALIFORNIA,CALIFORNIA,="0602505",San Bernardino County,421,32.09,13.12
SAINT HELENA UNIFIED,California,CALIFORNIA,="0637830",Napa County,1187,87.37,13.59
SALIDA UNION ELEMENTARY,California,CALIFORNIA,="0633900",Stanislaus County,2244,101.00,22.22
SALINAS CITY ELEMENTARY,California,CALIFORNIA,="0633930",Monterey County,8271,343.00,24.11
SALINAS UNION HIGH,California,CALIFORNIA,="0633980",Monterey County,16423,692.03,23.73
SAMUELI ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602051",Orange County,675,33.67,20.05
SAN ANTONIO ROP,California,CALIFORNIA,="0601367",Los Angeles County,†,†,†
SAN ANTONIO ROP,California,CALIFORNIA,="0600114",Los Angeles County,="0",–,–
SAN ANTONIO UNION ELEMENTARY,California,CALIFORNIA,="0634050",Monterey County,120,8.00,15.00
SAN ARDO UNION ELEMENTARY,California,CALIFORNIA,="0634080",Monterey County,111,5.00,22.20
SAN BENITO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691028",San Benito County,21,2.09,10.05
SAN BENITO HIGH,California,CALIFORNIA,="0634140",San Benito County,3350,130.33,25.70
SAN BERNARDINO CITY UNIFIED,California,CALIFORNIA,="0634170",San Bernardino County,46693,2069.96,22.56
SAN BERNARDINO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691029",San Bernardino County,2028,170.88,11.87
SAN BERNARDINO COUNTY ROP,California,CALIFORNIA,="0600132",San Bernardino County,="0",–,–
SAN BRUNO PARK ELEMENTARY,California,CALIFORNIA,="0634230",San Mateo County,2275,91.80,24.78
SAN CARLOS CHARTER LEARNING CENTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601842",San Mateo County,387,18.80,20.59
SAN CARLOS ELEMENTARY,California,CALIFORNIA,="0634290",San Mateo County,2878,138.25,20.82
SAN DIEGO COOPERATIVE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601809",San Diego County,390,20.63,18.90
SAN DIEGO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691030",San Diego County,1147,114.25,10.04
SAN DIEGO COUNTY ROP,California,CALIFORNIA,="0600138",San Diego County,="0",–,–
SAN DIEGO MISSION ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602294",San Diego County,163,7.00,23.29
SAN DIEGO UNIFIED,California,CALIFORNIA,="0634320",San Diego County,97968,4266.88,22.96
SAN DIEGO VIRTUAL DISTRICT,CALIFORNIA,CALIFORNIA,="0601893",San Diego County,433,23.37,18.53
SAN DIEGO WORKFORCE INNOVATION HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602108",San Diego County,2715,104.20,26.06
SAN DIEGUITO UNION HIGH,California,CALIFORNIA,="0634380",San Diego County,13001,515.28,25.23
SAN FRANCISCO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691111",San Francisco County,293,18.08,16.21
SAN FRANCISCO COUNTY ROP,California,CALIFORNIA,="0600139",San Francisco County,="0",–,–
SAN FRANCISCO UNIFIED,California,CALIFORNIA,="0634410",San Francisco County,51790,2501.58,20.70
SAN GABRIEL UNIFIED,California,CALIFORNIA,="0634425",Los Angeles County,4806,208.44,23.06
SAN JACINTO UNIFIED,California,CALIFORNIA,="0634440",Riverside County,9919,425.35,23.32
SAN JACINTO VALLEY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602390",Riverside County,1543,80.17,19.25
SAN JOAQUIN COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691031",San Joaquin County,1706,132.30,12.89
SAN JOAQUIN COUNTY ROP,California,CALIFORNIA,="0600140",San Joaquin County,="0",–,–
SAN JOAQUIN DATA PROCESSING JPA,California,CALIFORNIA,="0601369",San Joaquin County,†,†,†
SAN JOSE CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601695",Los Angeles County,1251,55.00,22.75
SAN JOSE CONSERVATION CORPS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601697",Santa Clara County,180,5.50,32.73
SAN JOSE UNIFIED,California,CALIFORNIA,="0634590",Santa Clara County,27430,1266.08,21.67
SAN JUAN UNIFIED,California,CALIFORNIA,="0634620",Sacramento County,39218,1710.99,22.92
SAN LEANDRO UNIFIED,California,CALIFORNIA,="0634680",Alameda County,8828,390.13,22.63
SAN LORENZO UNIFIED,California,CALIFORNIA,="0634710",Alameda County,9431,395.91,23.82
SAN LORENZO VALLEY UNIFIED,California,CALIFORNIA,="0634740",Santa Cruz County,2434,110.21,22.09
SAN LUCAS UNION ELEMENTARY,California,CALIFORNIA,="0634770",Monterey County,71,4.00,17.75
SAN LUIS COASTAL UNIFIED,California,CALIFORNIA,="0634800",San Luis Obispo County,7332,358.46,20.45
SAN LUIS OBISPO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691032",San Luis Obispo County,321,24.10,13.32
SAN MARCOS UNIFIED,California,CALIFORNIA,="0634880",San Diego County,19767,796.83,24.81
SAN MARINO UNIFIED,California,CALIFORNIA,="0634860",Los Angeles County,2821,137.27,20.55
SAN MATEO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691033",San Mateo County,143,23.00,6.22
SAN MATEO COUNTY ROP,California,CALIFORNIA,="0600142",San Mateo County,="0",–,–
SAN MATEO UNION HIGH,California,CALIFORNIA,="0634980",San Mateo County,9203,451.29,20.39
SAN MATEO-FOSTER CITY,California,CALIFORNIA,="0634920",San Mateo County,10969,502.90,21.81
SAN MIGUEL JOINT UNION,California,CALIFORNIA,="0635010",San Luis Obispo County,593,29.07,20.40
SAN PASQUAL UNION ELEMENTARY,California,CALIFORNIA,="0635040",San Diego County,501,27.43,18.26
SAN PASQUAL VALLEY UNIFIED,California,CALIFORNIA,="0635070",Imperial County,609,41.44,14.70
SAN RAFAEL CITY ELEMENTARY,California,CALIFORNIA,="0635090",Marin County,4415,205.75,21.46
SAN RAFAEL CITY HIGH,California,CALIFORNIA,="0635110",Marin County,2666,127.61,20.89
SAN RAMON VALLEY UNIFIED,California,CALIFORNIA,="0635130",Contra Costa County,30726,1361.45,22.57
SAN YSIDRO ELEMENTARY,California,CALIFORNIA,="0635220",San Diego County,4419,184.50,23.95
SANGER UNIFIED,California,CALIFORNIA,="0635250",Fresno County,12625,547.55,23.06
SANTA ANA UNIFIED,California,CALIFORNIA,="0635310",Orange County,44271,1836.50,24.11
SANTA BARBARA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691034",Santa Barbara County,102,17.20,5.93
SANTA BARBARA COUNTY ROP,California,CALIFORNIA,="0600133",Santa Barbara County,="0",–,–
SANTA BARBARA COUNTY SELPA JPA,California,CALIFORNIA,="0601404",Santa Barbara County,†,†,†
SANTA BARBARA UNIFIED,California,CALIFORNIA,="0601414",Santa Barbara County,13188,604.23,21.83
SANTA CLARA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691035",Santa Clara County,1518,156.57,9.70
SANTA CLARA COUNTY ROP,California,CALIFORNIA,="0600137",Santa Clara County,="0",–,–
SANTA CLARA ELEMENTARY,California,CALIFORNIA,="0635490",Ventura County,55,2.51,21.91
SANTA CLARA UNIFIED,California,CALIFORNIA,="0635430",Santa Clara County,14808,714.99,20.71
SANTA CLARITA VALLEY INTERNATIONAL DISTRICT,CALIFORNIA,CALIFORNIA,="0602137",Los Angeles County,934,41.49,22.51
SANTA CLARITA VLLY SCH FOOD SVS AGENCY JPA,California,CALIFORNIA,="0601361",Los Angeles County,†,†,†
SANTA CRUZ CITY ELEMENTARY,California,CALIFORNIA,="0635590",Santa Cruz County,1684,76.09,22.13
SANTA CRUZ CITY ELEMENTARY/HIGH,California,CALIFORNIA,="0601327",Santa Cruz County,†,†,†
SANTA CRUZ CITY HIGH,California,CALIFORNIA,="0635600",Santa Cruz County,4644,211.25,21.98
SANTA CRUZ COUNTY CAREER ADVANCEMENT CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602028",Santa Cruz County,†,†,†
SANTA CRUZ COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691036",Santa Cruz County,1053,59.02,17.84
SANTA CRUZ COUNTY ROP,California,CALIFORNIA,="0600143",Santa Cruz County,="0",–,–
SANTA MARIA JOINT UNION HIGH,California,CALIFORNIA,="0635670",Santa Barbara County,8953,390.63,22.92
SANTA MARIA-BONITA,California,CALIFORNIA,="0605580",Santa Barbara County,16665,773.68,21.54
SANTA MONICA BOULEVARD COMMUNITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601594",Los Angeles County,849,40.00,21.23
SANTA MONICA-MALIBU UNIFIED,California,CALIFORNIA,="0635700",Los Angeles County,9929,467.71,21.23
SANTA PAULA UNIFIED,California,CALIFORNIA,="0601421",Ventura County,5081,227.77,22.31
SANTA RITA UNION ELEMENTARY,California,CALIFORNIA,="0635790",Monterey County,3470,151.41,22.92
SANTA ROSA ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602101",Riverside County,1686,80.25,21.01
SANTA ROSA CITY SCHOOLS,California,CALIFORNIA,="0601329",Sonoma County,†,†,†
SANTA ROSA ELEMENTARY,California,CALIFORNIA,="0635810",Sonoma County,4563,203.23,22.45
SANTA ROSA HIGH,California,CALIFORNIA,="0635830",Sonoma County,10821,491.85,22.00
SANTA YNEZ VALLEY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602197",Santa Barbara County,144,10.00,14.40
SANTA YNEZ VALLEY UNION HIGH,California,CALIFORNIA,="0635850",Santa Barbara County,864,44.78,19.29
SANTEE,California,CALIFORNIA,="0635880",San Diego County,6482,273.08,23.74
SANTIAGO MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601894",Orange County,1163,40.00,29.08
SARATOGA UNION ELEMENTARY,California,CALIFORNIA,="0635910",Santa Clara County,1657,83.18,19.92
SAUCELITO ELEMENTARY,California,CALIFORNIA,="0635940",Tulare County,77,3.27,23.55
SAUGUS UNION,California,CALIFORNIA,="0635970",Los Angeles County,9071,352.14,25.76
SAUSALITO MARIN CITY,California,CALIFORNIA,="0636000",Marin County,111,12.50,8.88
SAVA - SACRAMENTO ACADEMIC AND VOCATIONAL ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602285",Sacramento County,137,12.39,11.06
SAVA- SACRAMENTO ACAD AND VOCATIONAL ACADEMY- EGUSD DISTRICT,CALIFORNIA,CALIFORNIA,="0601796",Sacramento County,281,17.05,16.48
SAVA- SACRAMENTO ACAD AND VOCATIONAL ACADEMY- SCUSD DISTRICT,CALIFORNIA,CALIFORNIA,="0602348",Sacramento County,736,41.14,17.89
SAVANNA ELEMENTARY,California,CALIFORNIA,="0636030",Orange County,1949,80.50,24.21
SAVANT PREPARATORY ACADEMY OF BUSINESS DISTRICT,CALIFORNIA,CALIFORNIA,="0602301",San Bernardino County,166,7.00,23.71
SCALE LEADERSHIP ACADEMY - EAST DISTRICT,CALIFORNIA,CALIFORNIA,="0601897",San Bernardino County,984,18.04,54.55
SCHOLARSHIP PREP - OCEANSIDE DISTRICT,CALIFORNIA,CALIFORNIA,="0601600",San Diego County,487,15.52,31.38
SCHOLARSHIP PREP - SOUTH BAY DISTRICT,CALIFORNIA,CALIFORNIA,="0602493",Los Angeles County,286,9.01,31.74
SCHOLARSHIP PREP DISTRICT,CALIFORNIA,CALIFORNIA,="0601754",Orange County,505,20.00,25.25
SCHOOL FOR ENTREPRENEURSHIP AND TECHNOLOGY DISTRICT,CALIFORNIA,CALIFORNIA,="0602110",San Diego County,196,13.10,14.96
SCHOOL OF ARTS AND ENTERPRISE DISTRICT,CALIFORNIA,CALIFORNIA,="0602180",Los Angeles County,726,41.67,17.42
SCHOOL OF UNLIMITED LEARNING DISTRICT,CALIFORNIA,CALIFORNIA,="0602164",Fresno County,145,11.00,13.18
SCHOOL PROJECT UTILITY RATE REDUCTION,California,CALIFORNIA,="0601365",Alameda County,†,†,†
SCOTIA UNION ELEMENTARY,California,CALIFORNIA,="0636100",Humboldt County,188,9.00,20.89
SCOTT VALLEY UNIFIED,California,CALIFORNIA,="0600159",Siskiyou County,612,41.78,14.65
SCOTTS VALLEY UNIFIED,California,CALIFORNIA,="0600043",Santa Cruz County,2237,98.80,22.64
SD GLOBAL VISION ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601483",San Diego County,430,21.00,20.48
SEBASTOPOL INDEPENDENT CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602477",Sonoma County,281,11.50,24.43
SEBASTOPOL UNION ELEMENTARY,California,CALIFORNIA,="0636180",Sonoma County,418,20.77,20.13
SEELEY UNION ELEMENTARY,California,CALIFORNIA,="0636210",Imperial County,393,16.00,24.56
SEIAD ELEMENTARY,California,CALIFORNIA,="0636240",Siskiyou County,9,1.00,9.00
SELMA UNIFIED,California,CALIFORNIA,="0636270",Fresno County,6050,279.43,21.65
SEMITROPIC ELEMENTARY,California,CALIFORNIA,="0636330",Kern County,170,11.00,15.45
SEQUOIA UNION ELEMENTARY,California,CALIFORNIA,="0636360",Tulare County,340,18.00,18.89
SEQUOIA UNION HIGH,California,CALIFORNIA,="0636390",San Mateo County,9055,495.55,18.27
SHAFFER UNION ELEMENTARY,California,CALIFORNIA,="0636420",Lassen County,187,9.00,20.78
SHANDON JOINT UNIFIED,California,CALIFORNIA,="0636450",San Luis Obispo County,282,17.00,16.59
SHASTA CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602306",Shasta County,269,14.80,18.18
SHASTA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691037",Shasta County,189,11.60,16.29
SHASTA UNION ELEMENTARY,California,CALIFORNIA,="0636570",Shasta County,114,6.40,17.81
SHASTA UNION HIGH,California,CALIFORNIA,="0636600",Shasta County,4247,200.70,21.16
SHASTA VIEW ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602506",Shasta County,381,17.89,21.30
SHASTA-TRINITY ROP,California,CALIFORNIA,="0600125",Shasta County,="0",–,–
SHASTA-TRINITY ROP JPA,California,CALIFORNIA,="0601402",Shasta County,†,†,†
SHERMAN THOMAS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602467",Madera County,209,9.00,23.22
SHERMAN THOMAS CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601563",Madera County,80,5.06,15.81
SHERMAN THOMAS STEM ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602225",Madera County,74,2.75,26.91
SHERWOOD MONTESSORI DISTRICT,CALIFORNIA,CALIFORNIA,="0601845",Butte County,122,7.00,17.43
SHILOH ELEMENTARY,California,CALIFORNIA,="0636660",Stanislaus County,182,9.00,20.22
SHORELINE UNIFIED,California,CALIFORNIA,="0636670",Marin County,500,44.82,11.16
SIATECH ACADEMY SOUTH DISTRICT,CALIFORNIA,CALIFORNIA,="0601681",Los Angeles County,232,–,–
SIATECH DISTRICT,CALIFORNIA,CALIFORNIA,="0601781",San Diego County,1051,52.50,20.02
SIERRA ACADEMY OF EXPEDITIONARY LEARNING DISTRICT,CALIFORNIA,CALIFORNIA,="0602021",Nevada County,194,12.48,15.54
SIERRA CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601609",Fresno County,403,27.98,14.40
SIERRA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691120",Sierra County,="0",–,–
SIERRA EXPEDITIONARY LEARNING DISTRICT,CALIFORNIA,CALIFORNIA,="0601499",Nevada County,214,9.00,23.78
SIERRA FOOTHILL CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602246",Mariposa County,153,6.00,25.50
SIERRA SANDS UNIFIED,California,CALIFORNIA,="0636800",Kern County,4950,230.23,21.50
SIERRA UNIFIED,California,CALIFORNIA,="0636805",Fresno County,1204,68.53,17.57
SIERRA-PLUMAS JOINT UNIFIED,California,CALIFORNIA,="0636780",Sierra County,395,27.95,14.13
SILICON VALLEY JOINT POWERS TRANSPORTATION AGENCY,California,CALIFORNIA,="0601372",Santa Clara County,†,†,†
SILVER FORK ELEMENTARY,California,CALIFORNIA,="0636810",El Dorado County,18,2.00,9.00
SILVER OAK HIGH PUBLIC MONTESSORI CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602238",Alameda County,221,12.00,18.42
SILVER VALLEY UNIFIED,California,CALIFORNIA,="0636820",San Bernardino County,2014,114.36,17.61
SIMI VALLEY UNIFIED,California,CALIFORNIA,="0636840",Ventura County,15951,704.41,22.64
SISKIYOU COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691038",Siskiyou County,84,11.10,7.57
SISKIYOU ROP,California,CALIFORNIA,="0600127",Siskiyou County,="0",–,–
SISKIYOU UNION HIGH,California,CALIFORNIA,="0636940",Siskiyou County,537,32.19,16.68
SKY MOUNTAIN CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601743",El Dorado County,2185,93.61,23.34
SNELLING-MERCED FALLS UNION ELEMENTARY,California,CALIFORNIA,="0636960",Merced County,75,5.00,15.00
SNOWLINE JOINT UNIFIED,California,CALIFORNIA,="0636970",San Bernardino County,7355,319.85,23.00
SOAR CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601481",San Bernardino County,454,21.00,21.62
SOL AUREUS COLLEGE PREPARATORY DISTRICT,CALIFORNIA,CALIFORNIA,="0601480",Sacramento County,392,–,–
SOLANA BEACH ELEMENTARY,California,CALIFORNIA,="0636990",San Diego County,2720,137.90,19.72
SOLANO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691122",Solano County,358,46.00,7.78
SOLEDAD UNIFIED,California,CALIFORNIA,="0637050",Monterey County,4911,212.62,23.10
SOLEIL ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601965",Los Angeles County,195,8.00,24.38
SOLVANG ELEMENTARY,California,CALIFORNIA,="0637110",Santa Barbara County,607,30.00,20.23
SOMIS UNION,California,CALIFORNIA,="0637140",Ventura County,230,13.10,17.56
SONOMA CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602260",Sonoma County,203,9.00,22.56
SONOMA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691040",Sonoma County,411,44.23,9.29
SONOMA COUNTY ROP,California,CALIFORNIA,="0600129",Sonoma County,="0",–,–
SONOMA VALLEY UNIFIED,California,CALIFORNIA,="0637200",Sonoma County,3503,184.20,19.02
SONORA ELEMENTARY,California,CALIFORNIA,="0637230",Tuolumne County,698,32.97,21.17
SONORA UNION HIGH,California,CALIFORNIA,="0637260",Tuolumne County,1022,42.94,23.80
SOQUEL UNION ELEMENTARY,California,CALIFORNIA,="0637290",Santa Cruz County,1745,81.35,21.45
SOULSBYVILLE ELEMENTARY,California,CALIFORNIA,="0637320",Tuolumne County,476,25.91,18.37
SOUTH BAY UNION,California,CALIFORNIA,="0637380",San Diego County,6446,273.50,23.57
SOUTH BAY UNION ELEMENTARY,California,CALIFORNIA,="0637350",Humboldt County,482,27.13,17.77
SOUTH COUNTY SUPPORT SERVICES AGENCY,California,CALIFORNIA,="0601368",Fresno County,†,†,†
SOUTH FORK UNION,California,CALIFORNIA,="0637470",Kern County,291,13.00,22.38
SOUTH MONTEREY COUNTY JOINT UNION HIGH,California,CALIFORNIA,="0619650",Monterey County,2659,108.02,24.62
SOUTH PASADENA UNIFIED,California,CALIFORNIA,="0637500",Los Angeles County,4718,199.10,23.70
SOUTH SAN FRANCISCO UNIFIED,California,CALIFORNIA,="0637530",San Mateo County,8182,396.20,20.65
SOUTH SUTTER CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601740",Sutter County,2628,111.80,23.51
SOUTH WHITTIER ELEMENTARY,California,CALIFORNIA,="0637560",Los Angeles County,2444,100.22,24.39
SOUTHERN CALIFORNIA ROC,California,CALIFORNIA,="0600107",Los Angeles County,="0",–,–
SOUTHERN CALIFORNIA ROP,California,CALIFORNIA,="0601386",Los Angeles County,†,†,†
SOUTHERN HUMBOLDT JOINT UNIFIED,California,CALIFORNIA,="0637590",Humboldt County,666,39.65,16.80
SOUTHERN KERN UNIFIED,California,CALIFORNIA,="0637620",Kern County,3366,159.12,21.15
SOUTHERN PLACER SCHOOLS TRANSPORTATION AUTHORITY,California,CALIFORNIA,="0601391",Placer County,†,†,†
SOUTHERN TRINITY JOINT UNIFIED,California,CALIFORNIA,="0637630",Trinity County,86,9.18,9.37
SOUTHSIDE ELEMENTARY,California,CALIFORNIA,="0637650",San Benito County,205,10.00,20.50
SOUTHWEST TRANSPORTATION AGENCY,California,CALIFORNIA,="0601394",Fresno County,†,†,†
SPARROW ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602298",San Diego County,322,12.81,25.14
SPENCER VALLEY ELEMENTARY,California,CALIFORNIA,="0637680",San Diego County,32,4.00,8.00
SPRECKELS UNION ELEMENTARY,California,CALIFORNIA,="0637710",Monterey County,955,44.40,21.51
SPRINGVILLE UNION ELEMENTARY,California,CALIFORNIA,="0637770",Tulare County,283,17.00,16.65
ST. HOPE PUBLIC SCHOOL 7 DISTRICT,CALIFORNIA,CALIFORNIA,="0602094",Sacramento County,565,30.00,18.83
STANDARD ELEMENTARY,California,CALIFORNIA,="0637890",Kern County,2913,143.00,20.37
STANISLAUS ALTERNATIVE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602421",Stanislaus County,678,37.00,18.32
STANISLAUS COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691041",Stanislaus County,816,77.51,10.53
STANISLAUS UNION ELEMENTARY,California,CALIFORNIA,="0637950",Stanislaus County,3431,157.34,21.81
STEELE CANYON HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601838",San Diego County,2182,81.88,26.65
STELLA ELEMENTARY CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602322",Los Angeles County,188,8.00,23.50
STELLA MIDDLE CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601889",Los Angeles County,469,19.42,24.15
STEM PREPARATORY ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0602045",Los Angeles County,313,15.00,20.87
STOCKTON COLLEGIATE INTERNATIONAL ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0602418",San Joaquin County,457,21.00,21.76
STOCKTON COLLEGIATE INTERNATIONAL SECONDARY DISTRICT,CALIFORNIA,CALIFORNIA,="0601792",San Joaquin County,514,32.75,15.69
STOCKTON UNIFIED,California,CALIFORNIA,="0638010",San Joaquin County,36190,1585.02,22.83
STONE BRIDGE DISTRICT,CALIFORNIA,CALIFORNIA,="0601978",Napa County,269,10.00,26.90
STONE CORRAL ELEMENTARY,California,CALIFORNIA,="0638040",Tulare County,130,7.00,18.57
STONY CREEK JOINT UNIFIED,California,CALIFORNIA,="0638070",Glenn County,81,9.00,9.00
STRATHMORE UNION ELEMENTARY,California,CALIFORNIA,="0638130",Tulare County,718,32.00,22.44
STREAM CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602057",Butte County,286,10.90,26.24
SULPHUR SPRINGS UNION,California,CALIFORNIA,="0638220",Los Angeles County,5069,197.77,25.63
SUMMERVILLE ELEMENTARY,California,CALIFORNIA,="0638250",Tuolumne County,385,18.74,20.54
