,District Name,State Name [District] Latest available year_x,Total Staff [District] 2020-21,Paraprofessionals/Instructional Aides [District] 2020-21,Total Guidance Counselors [District] 2020-21,Instructional Coordinators [District] 2020-21,Librarians/media specialists [District] 2020-21,LEA Administrators [District] 2020-21,LEA Administrative Support Staff [District] 2020-21,School Administrators [District] 2020-21,Student Support Services Staff (w/o Psychology) [District] 2020-21,School Psychologist [District] 2020-21,Other Support Services Staff [District] 2020-21,Agency Name [District] 2020-21,Agency_ID,County Name [District] 2020-21_x,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,State Name [District] 2020-21,"Total Students, All Grades (Excludes AE) [District] 2020-21",Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
102,animo james b. taylor charter middle district,CALIFORNIA,33.21,2,1,0,0,0,0,2,0,1,0.2,Animo James B. Taylor Charter Middle District,601960.0,Los Angeles County,6037.0,1.0,CALIFORNIA,463,25.01,18.51
103,animo jefferson charter middle district,CALIFORNIA,35.15,2,1,0.14,0,0,0,3,0,1,0,Animo Jefferson Charter Middle District,602344.0,Los Angeles County,6037.0,1.0,CALIFORNIA,541,26.01,20.8
104,animo leadership high district,CALIFORNIA,40.41,1,2,0.3,0,0,0,2,0,1,0,Animo Leadership High District,602052.0,Los Angeles County,6037.0,1.0,CALIFORNIA,654,29.11,22.47
105,animo legacy charter middle district,CALIFORNIA,95.01,19,5,0,0,0,0,7,0,3,1,Animo Legacy Charter Middle District,601624.0,Los Angeles County,6037.0,1.0,CALIFORNIA,954,57.01,16.73
106,animo mae jemison charter middle district,CALIFORNIA,35.16,1,1,0.15,0,0,0,3,0,1,0,Animo Mae Jemison Charter Middle District,601649.0,Los Angeles County,6037.0,1.0,CALIFORNIA,496,27.01,18.36
107,animo pat brown district,CALIFORNIA,38.25,2,3,0.14,0,0,0,3,0,1,0,Animo Pat Brown District,602257.0,Los Angeles County,6037.0,1.0,CALIFORNIA,633,27.11,23.35
108,animo ralph bunche charter high district,CALIFORNIA,42.25,3,2,0.14,0,0,0,3,0,1,0,Animo Ralph Bunche Charter High District,601899.0,Los Angeles County,6037.0,1.0,CALIFORNIA,617,30.11,20.49
109,animo south los angeles charter district,CALIFORNIA,43.51,4,2,0.4,0,0,0,3,0,1,0,Animo South Los Angeles Charter District,602435.0,Los Angeles County,6037.0,1.0,CALIFORNIA,650,31.11,20.89
110,animo venice charter high district,CALIFORNIA,38.31,2,2,0,0,0,0,3,0,1,0.2,Animo Venice Charter High District,602461.0,Los Angeles County,6037.0,1.0,CALIFORNIA,521,28.11,18.53
111,animo watts college preparatory academy district,CALIFORNIA,39.41,3,2,0.7,0,0,0,3,0,1,0,Animo Watts College Preparatory Academy District,602219.0,Los Angeles County,6037.0,1.0,CALIFORNIA,580,27.71,20.93
