,District Name,State Name [District] Latest available year_x,Total Staff [District] 2020-21,Paraprofessionals/Instructional Aides [District] 2020-21,Total Guidance Counselors [District] 2020-21,Instructional Coordinators [District] 2020-21,Librarians/media specialists [District] 2020-21,LEA Administrators [District] 2020-21,LEA Administrative Support Staff [District] 2020-21,School Administrators [District] 2020-21,Student Support Services Staff (w/o Psychology) [District] 2020-21,School Psychologist [District] 2020-21,Other Support Services Staff [District] 2020-21,Agency Name [District] 2020-21,Agency_ID,County Name [District] 2020-21_x,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,State Name [District] 2020-21,"Total Students, All Grades (Excludes AE) [District] 2020-21",Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
1046,lakeside union,California,110.85,13.37,0,1,0,1,0,3.95,3,2,18.53,Lakeside Union,620730.0,Kern County,6029.0,2.0,CALIFORNIA,1447,59,24.53
1047,lakeside union elementary,California,34.67,7.84,0,0,0,0,0,1,0,0,6.83,Lakeside Union Elementary,620760.0,Kings County,6031.0,1.0,CALIFORNIA,266,15,17.73
1048,lakeside union elementary,California,467.99,72.64,8,0,0,1,0,9,7.66,7.98,112.39,Lakeside Union Elementary,620790.0,San Diego County,6073.0,11.0,CALIFORNIA,4679,208.33,22.46
1049,lammersville joint unified,California,455.54,27.5,5.6,2,0.5,2,0,14.98,7,6,83.91,Lammersville Joint Unified,601410.0,San Joaquin County,6077.0,8.0,CALIFORNIA,6397,270.05,23.69
1050,lamont elementary,California,322.45,45.29,0,14,0,3,0,8,8,3,82.07,Lamont Elementary,620850.0,Kern County,6029.0,4.0,CALIFORNIA,2849,124.01,22.97
1051,lancaster elementary,California,1507.74,232.17,26,2,0,19,0,41,33,24,413.54,Lancaster Elementary,620880.0,Los Angeles County,6037.0,22.0,CALIFORNIA,13594,582.55,23.34
1052,larchmont charter district,CALIFORNIA,180.87,28.43,2,1,0,3,2,7,0,3,49.92,Larchmont Charter District,601904.0,Los Angeles County,6037.0,1.0,CALIFORNIA,1581,68.3,23.15
1053,larkspur-corte madera,California,121.81,11.85,2.8,1,0,3,0,3,2.46,1.99,17.99,Larkspur-Corte Madera,620910.0,Marin County,6041.0,3.0,CALIFORNIA,1434,67.42,21.27
1054,las lomitas elementary,California,153.38,27.93,2,0,0,3,0,5,4,2,20.42,Las Lomitas Elementary,622380.0,San Mateo County,6081.0,2.0,CALIFORNIA,1116,78.03,14.3
1055,las virgenes unified,California,868.5,143.79,21.1,4,1,5,1,32.34,16.9,14.3,132.28,Las Virgenes Unified,621000.0,Los Angeles County,6037.0,16.0,CALIFORNIA,10248,416.12,24.63
1056,lashon academy city district,CALIFORNIA,4.27,0,0,0,0,0,0,0.85,0,0,0.34,Lashon Academy City District,602489.0,Los Angeles County,6037.0,1.0,CALIFORNIA,22,2.08,10.58
1057,lashon academy district,CALIFORNIA,47.25,3.5,1,0,0,1.15,0,2,0,0,12.17,Lashon Academy District,601955.0,Los Angeles County,6037.0,1.0,CALIFORNIA,581,25.43,22.85
1058,lassen county office of education,California,17.71,2.91,0,1,0,3,0,0,5,1,1.8,Lassen County Office of Education,691015.0,Lassen County,6035.0,3.0,CALIFORNIA,10,2,5
1059,lassen rop,California,–,–,–,–,–,–,–,–,–,–,–,Lassen ROP,600079.0,Lassen County,6035.0,1.0,CALIFORNIA,0,–,–
1060,lassen union high,California,83.93,9,2.16,0,0,0.5,0,1.33,0,0,17.6,Lassen Union High,621060.0,Lassen County,6035.0,3.0,CALIFORNIA,822,39.34,20.89
1061,lassen view union elementary,California,38.99,11.98,0,0,0,1,0,0.4,0,0,9.01,Lassen View Union Elementary,621090.0,Tehama County,6103.0,1.0,CALIFORNIA,355,13.6,26.1
1062,latino college preparatory academy district,CALIFORNIA,30.06,1,1.5,0.25,0,1,0,0,0,0,4.86,Latino College Preparatory Academy District,601932.0,Santa Clara County,6085.0,1.0,CALIFORNIA,409,14.85,27.54
1063,latitude 37.8 high district,CALIFORNIA,24.03,3,0,0.8,0,0,0,3,0.33,1.1,3.8,Latitude 37.8 High District,601514.0,Alameda County,6001.0,1.0,CALIFORNIA,143,11,13
1064,laton joint unified,California,80.67,10.11,2,0,0,1,0,1.8,0,1,22.27,Laton Joint Unified,621150.0,Fresno County,6019.0,4.0,CALIFORNIA,633,36.45,17.37
1065,latrobe,California,16.39,1,0.2,0,0,0.5,0,0.5,0.1,0,2.4,Latrobe,621180.0,El Dorado County,6017.0,2.0,CALIFORNIA,148,9,16.44
1066,laurel tree charter district,CALIFORNIA,14.75,2,0,0,0,1,0,0,0,0,0,Laurel Tree Charter District,601581.0,Humboldt County,6023.0,1.0,CALIFORNIA,163,11.75,13.87
1067,laverne elementary preparatory academy district,CALIFORNIA,33.25,3.75,0.5,0.5,0,1.5,0,0,0,0.5,2.5,LaVerne Elementary Preparatory Academy District,601686.0,San Bernardino County,6071.0,1.0,CALIFORNIA,489,21,23.29
1068,lawndale elementary,California,541.23,68.59,3.8,2,0,12,0,13,26.55,9.3,145.71,Lawndale Elementary,621210.0,Los Angeles County,6037.0,9.0,CALIFORNIA,4949,202.52,24.44
1069,laytonville unified,California,55.62,9.8,1.4,0,0,1,0,1.9,0,1,11.45,Laytonville Unified,642580.0,Mendocino County,6045.0,4.0,CALIFORNIA,360,22.57,15.95
1070,lazear charter academy district,CALIFORNIA,45.39,9,0,0,0,0,0,3,0.53,0,9.94,Lazear Charter Academy District,602405.0,Alameda County,6001.0,1.0,CALIFORNIA,485,20,24.25
1071,le grand union elementary,California,47.62,11.41,0,0,0,0,0,2,0,0,12.58,Le Grand Union Elementary,621240.0,Merced County,6047.0,1.0,CALIFORNIA,361,17,21.24
1072,le grand union high,California,67.5,9,1.9,1,0,1,0,1.5,0,0,16.5,Le Grand Union High,621270.0,Merced County,6047.0,2.0,CALIFORNIA,514,27.1,18.97
1073,leadership high district,CALIFORNIA,27,0,1,0,0,0,0,1,0,0,4,Leadership High District,601491.0,San Francisco County,6075.0,1.0,CALIFORNIA,334,19.4,17.22
1074,leadership military academy district,CALIFORNIA,29.4,0,0,0,0,1,0,1.95,0,0,7.65,Leadership Military Academy District,601640.0,Riverside County,6065.0,1.0,CALIFORNIA,262,14.8,17.7
1075,leadership public schools - hayward district,CALIFORNIA,49.9,1.75,3,0,0,0.6,0,2.6,0,0,8.95,Leadership Public Schools - Hayward District,601815.0,Alameda County,6001.0,1.0,CALIFORNIA,614,31,19.81
1076,leadership public schools: richmond district,CALIFORNIA,53.4,1,0.4,0.75,0,2.6,0,1,1,0,13,Leadership Public Schools: Richmond District,601892.0,Contra Costa County,6013.0,1.0,CALIFORNIA,600,29.65,20.24
1077,learning by design charter district,CALIFORNIA,21,8,0,0,0,2,0,0,0,0,3,Learning by Design Charter District,602090.0,Los Angeles County,6037.0,1.0,CALIFORNIA,134,6,22.33
1078,learning choice academy - chula vista district,CALIFORNIA,34.3,1.8,0.37,0.41,0,1.55,0,0.3,0.41,0.41,3.86,Learning Choice Academy - Chula Vista District,602122.0,San Diego County,6073.0,1.0,CALIFORNIA,404,21.73,18.59
1079,learning choice academy district,CALIFORNIA,19.96,1,0.2,0.23,0,1.07,0,1.18,0.23,0.23,1.53,Learning Choice Academy District,602323.0,San Diego County,6073.0,1.0,CALIFORNIA,239,11.31,21.13
1080,learning for life charter district,CALIFORNIA,11.91,2.8,1,0,0,0.95,0,0,0,1,0.3,Learning for Life Charter District,602318.0,Monterey County,6053.0,1.0,CALIFORNIA,167,4.86,34.36
1081,learning without limits district,CALIFORNIA,40.32,6.13,0,1,0,0,0,3,0.53,0,9.03,Learning Without Limits District,601886.0,Alameda County,6001.0,1.0,CALIFORNIA,411,18,22.83
1082,learning works district,CALIFORNIA,31.7,1,1,0,0,0,0,0,0,0,14,Learning Works District,601869.0,Los Angeles County,6037.0,1.0,CALIFORNIA,263,9,29.22
1083,leggett valley unified,California,40.87,9.86,0,0,0,0.7,0,0,0.34,0,10.18,Leggett Valley Unified,609665.0,Mendocino County,6045.0,4.0,CALIFORNIA,134,13.29,10.08
1084,lemon grove,California,366.18,54.5,1,5,0,4,0,12,16.19,3.99,101.24,Lemon Grove,621330.0,San Diego County,6073.0,6.0,CALIFORNIA,3160,145.46,21.72
1085,lemoore middle college high district,CALIFORNIA,19.16,1.01,1,0,0,0.5,0,0,0,0,0,Lemoore Middle College High District,602412.0,Kings County,6031.0,1.0,CALIFORNIA,232,13.5,17.19
1086,lemoore online college preparatory high district,CALIFORNIA,4.57,0,0,0,0,1.5,0,0,0,0,0,Lemoore Online College Preparatory High District,601820.0,Kings County,6031.0,1.0,CALIFORNIA,135,2.67,50.56
1087,lemoore union elementary,California,307.99,28.75,6,0.5,0,2,0,12.5,2,4,73.93,Lemoore Union Elementary,621360.0,Kings County,6031.0,7.0,CALIFORNIA,3227,155.81,20.71
1088,lemoore union high,California,188.5,5.07,5,0,0,4,0,4,2,1,52.96,Lemoore Union High,621400.0,Kings County,6031.0,2.0,CALIFORNIA,1974,93.12,21.2
1089,lennox,California,496.41,60.17,7,1,0,5,0,12,8,5,136.29,Lennox,621420.0,Los Angeles County,6037.0,8.0,CALIFORNIA,4731,216.76,21.83
1090,lennox mathematics science and technology academy district,CALIFORNIA,57,18,2,0,0,1,0.85,1,0,0,4,Lennox Mathematics Science and Technology Academy District,601617.0,Los Angeles County,6037.0,1.0,CALIFORNIA,580,28.15,20.6
1091,leonardo da vinci health sciences charter district,CALIFORNIA,19.92,0.5,0,0,0,1,0,0,0,0,1.42,Leonardo da Vinci Health Sciences Charter District,601992.0,San Diego County,6073.0,1.0,CALIFORNIA,259,15,17.27
1092,lewiston elementary,California,11.86,3.98,0,0,0,0,0,0,0,0,3.38,Lewiston Elementary,621480.0,Trinity County,6105.0,1.0,CALIFORNIA,72,4,18
1093,libertas college preparatory charter district,CALIFORNIA,32.5,0,0,1,0,3,0,2,0,0,8,Libertas College Preparatory Charter District,601958.0,Los Angeles County,6037.0,1.0,CALIFORNIA,284,15,18.93
1094,liberty elementary,California,47,8.5,0,0,0,2,0,1,0,0,4,Liberty Elementary,621570.0,Tulare County,6107.0,1.0,CALIFORNIA,677,29,23.34
1095,liberty elementary,California,26.63,9.24,0,0,0,0,0,1,0.3,0,2.68,Liberty Elementary,621540.0,Sonoma County,6097.0,3.0,CALIFORNIA,209,11.21,18.64
1096,liberty independent study district,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,Liberty Independent Study District,602549.0,Sonoma County,6097.0,0.0,CALIFORNIA,†,†,†
1097,liberty union high,California,670.15,82.21,15,0,1,9,0,17,5,7,108.36,Liberty Union High,621600.0,Contra Costa County,6013.0,5.0,CALIFORNIA,8222,366.95,22.41
1098,life source international charter district,CALIFORNIA,27.5,3,1,0,0,0.25,0,0.25,0,0,4,Life Source International Charter District,602199.0,Los Angeles County,6037.0,1.0,CALIFORNIA,353,16,22.06
1099,lifeline education charter district,CALIFORNIA,63,12,1,3.5,0,0,0,2,0,0,6,Lifeline Education Charter District,601683.0,Los Angeles County,6037.0,1.0,CALIFORNIA,683,28.5,23.96
1100,lighthouse community charter district,CALIFORNIA,51.95,4.5,0,0,0,0,0,3,0,0.65,18.8,Lighthouse Community Charter District,601937.0,Alameda County,6001.0,1.0,CALIFORNIA,511,24,21.29
1101,lighthouse community charter high district,CALIFORNIA,30.94,0,1,0.8,0,0,0,2,0,0.35,8.49,Lighthouse Community Charter High District,602356.0,Alameda County,6001.0,1.0,CALIFORNIA,304,17.3,17.57
1102,lincoln elementary,California,2.18,1,0,0,0,0,0,0.1,0,0,0.08,Lincoln Elementary,621660.0,Marin County,6041.0,1.0,CALIFORNIA,8,1,8
1103,lincoln unified,California,790.95,96.3,21.4,0,1,11,0,24.95,14.8,8,126.31,Lincoln Unified,621690.0,San Joaquin County,6077.0,14.0,CALIFORNIA,8939,409.32,21.84
1104,linden unified,California,213.15,31.98,2.95,0,0,2,0,6.4,5.4,1,27.76,Linden Unified,621810.0,San Joaquin County,6077.0,6.0,CALIFORNIA,2323,107.62,21.59
1105,lindsay unified,California,462.36,60.6,9.8,9.75,0,12,0,17.85,3,3,119.45,Lindsay Unified,621870.0,Tulare County,6107.0,11.0,CALIFORNIA,4067,166.91,24.37
1106,linns valley-poso flat union,California,3,0,0,0,0,0,0,0,0,0,0,Linns Valley-Poso Flat Union,621900.0,Kern County,6029.0,1.0,CALIFORNIA,15,2,7.5
1107,literacy first charter district,CALIFORNIA,176.65,8,1,1,0,2.5,0,5,10,3,39.5,Literacy First Charter District,602098.0,San Diego County,6073.0,1.0,CALIFORNIA,1862,95.15,19.57
1108,little lake city elementary,California,365.94,53.49,8,0,0,4,1,11,3,4,79.79,Little Lake City Elementary,621930.0,Los Angeles County,6037.0,9.0,CALIFORNIA,4079,185.66,21.97
1109,little shasta elementary,California,4.4,2.25,0,0,0,0.4,0,0,0,0,0,Little Shasta Elementary,621960.0,Siskiyou County,6093.0,1.0,CALIFORNIA,16,1.75,9.14
1110,live oak charter district,CALIFORNIA,25.06,3.78,0,0,0,0,0,1,0.2,0.2,2.73,Live Oak Charter District,602161.0,Sonoma County,6097.0,1.0,CALIFORNIA,280,13.26,21.12
1111,live oak elementary,California,157.92,2.3,1,2,0,2,0,6.5,6,3,27.38,Live Oak Elementary,621990.0,Santa Cruz County,6087.0,7.0,CALIFORNIA,1730,79.52,21.76
1112,live oak unified,California,211.13,30.85,3,1,0,1,0,6.1,4,1,54.27,Live Oak Unified,622050.0,Sutter County,6101.0,6.0,CALIFORNIA,1902,92.91,20.47
1113,livermore valley joint unified,California,1189.08,178.18,15.8,2,0,7,0,34.55,21.7,17.4,210.05,Livermore Valley Joint Unified,622110.0,Alameda County,6001.0,18.0,CALIFORNIA,13305,581.94,22.86
1114,livingston union,California,239.12,23.16,5,1,1,4,0,5,1,3,66.71,Livingston Union,622170.0,Merced County,6047.0,5.0,CALIFORNIA,2474,108.51,22.8
1115,lodestar: a lighthouse community charter public district,CALIFORNIA,53.81,7,0,0,0,0,0,4,0,0,12.81,Lodestar: A Lighthouse Community Charter Public District,601755.0,Alameda County,6001.0,1.0,CALIFORNIA,645,28,23.04
1116,lodi unified,California,2821.13,455.64,45.09,10,1.67,6,1,82.95,51.94,30,566.14,Lodi Unified,622230.0,San Joaquin County,6077.0,49.0,CALIFORNIA,27896,1312.46,21.25
1117,loleta union elementary,California,25.08,10,0,0,0,0,0,1,0,0,6.58,Loleta Union Elementary,622320.0,Humboldt County,6023.0,1.0,CALIFORNIA,97,6,16.17
1118,loma prieta joint union elementary,California,52.49,6.91,0,1,0,1,0,1,1,0.4,13.83,Loma Prieta Joint Union Elementary,622350.0,Santa Cruz County,6087.0,2.0,CALIFORNIA,441,23,19.17
1119,lompoc unified,California,929.92,129.81,15,10,0,9.57,0,20.95,7.6,11,200.61,Lompoc Unified,622410.0,Santa Barbara County,6083.0,16.0,CALIFORNIA,9231,436,21.17
1120,lone pine unified,California,38.26,4.36,0,0,0,0.5,0,0.6,0,0,12.73,Lone Pine Unified,622440.0,Inyo County,6027.0,2.0,CALIFORNIA,324,17.57,18.44
1121,long beach unified,California,5842.76,485.92,126.4,39.5,25.99,29,1,149.2,151.6,49.2,1550.48,Long Beach Unified,622500.0,Los Angeles County,6037.0,84.0,CALIFORNIA,69413,2808.82,24.71
1122,long beach unified rop,California,–,–,–,–,–,–,–,–,–,–,–,Long Beach Unified ROP,600108.0,Los Angeles County,6037.0,1.0,CALIFORNIA,0,–,–
1123,long valley district,CALIFORNIA,29.38,6.81,0.45,0.6,0,0.5,0,1.7,0,0,4,Long Valley District,602296.0,Lassen County,6035.0,1.0,CALIFORNIA,285,13.35,21.35
1124,loomis union elementary,California,219.69,15.2,2,1,0,5,1,6,5.51,3.5,33.53,Loomis Union Elementary,622560.0,Placer County,6061.0,7.0,CALIFORNIA,2847,126.13,22.57
1125,los alamitos unified,California,748.78,115.7,10,4.02,0,5,1,18.05,19.49,10,152.38,Los Alamitos Unified,622590.0,Orange County,6059.0,9.0,CALIFORNIA,9317,366.3,25.44
1126,los altos elementary,California,411.2,99.44,0,1,0,6,0.6,10.83,7.8,10.45,57.15,Los Altos Elementary,622650.0,Santa Clara County,6085.0,11.0,CALIFORNIA,3576,193.28,18.5
1127,los angeles academy of arts and enterprise district,CALIFORNIA,41.84,3,2,0,0,0,0,2.86,0,1,10,Los Angeles Academy of Arts and Enterprise District,601534.0,Los Angeles County,6037.0,1.0,CALIFORNIA,275,18.98,14.49
1128,los angeles college prep academy district,CALIFORNIA,8,0,0,0,0,1,0,0,0,0,2,Los Angeles College Prep Academy District,601713.0,Los Angeles County,6037.0,1.0,CALIFORNIA,64,5,12.8
1129,los angeles county office of education,California,1809.7,58,58,28.32,0,77.75,23,21.34,6,23,1164.06,Los Angeles County Office of Education,691078.0,Los Angeles County,6037.0,9.0,CALIFORNIA,1679,187.23,8.97
1130,los angeles county rop,California,–,–,–,–,–,–,–,–,–,–,–,Los Angeles County ROP,600110.0,Los Angeles County,6037.0,1.0,CALIFORNIA,0,–,–
1131,los angeles leadership academy district,CALIFORNIA,40.38,2,1,0,0,0.5,0,3.45,0,0,6,Los Angeles Leadership Academy District,601494.0,Los Angeles County,6037.0,1.0,CALIFORNIA,439,24.43,17.97
1132,los angeles leadership primary academy district,CALIFORNIA,24.5,0,0,0,0,0.5,0,1.5,0,0,5,Los Angeles Leadership Primary Academy District,601797.0,Los Angeles County,6037.0,1.0,CALIFORNIA,340,16.5,20.61
1133,los angeles unified,California,57324.22,10257.08,1476.83,561.5,105.83,534,44,1536.16,1541,579,15611.76,Los Angeles Unified,622710.0,Los Angeles County,6037.0,782.0,CALIFORNIA,460633,21872.95,21.06
1134,los angeles unified rocp,California,–,–,†,–,–,–,–,–,–,–,–,Los Angeles Unified ROCP,600109.0,Los Angeles County,6037.0,1.0,CALIFORNIA,0,†,–
1135,los banos unified,California,1000.49,114.49,21.95,2,0,8.85,1,30.3,9,8,264.04,Los Banos Unified,622740.0,Merced County,6047.0,17.0,CALIFORNIA,10858,449.37,24.16
1136,los feliz charter middle school for the arts district,CALIFORNIA,23.17,3.25,0.24,0,0,0.48,0,0.24,0,0.24,4.72,Los Feliz Charter Middle School for the Arts District,601735.0,Los Angeles County,6037.0,1.0,CALIFORNIA,143,6,23.83
1137,los feliz charter school for the arts district,CALIFORNIA,59.33,20.75,0.76,0,0,1.52,0,0.76,0,0.76,7.78,Los Feliz Charter School for the Arts District,601550.0,Los Angeles County,6037.0,1.0,CALIFORNIA,442,19,23.26
1138,los gatos union elementary,California,231.93,20.92,2,1.5,1,4.5,0,7,4.7,3.6,34.51,Los Gatos Union Elementary,622830.0,Santa Clara County,6085.0,5.0,CALIFORNIA,2710,129.7,20.89
1139,los gatos-saratoga union high,California,298.09,23.07,9.6,1.01,0,6,0,11.26,1.6,2.8,49.6,Los Gatos-Saratoga Union High,622800.0,Santa Clara County,6085.0,2.0,CALIFORNIA,3470,159.9,21.7
1140,los molinos unified,California,62.28,4.5,0.9,0,0,0.8,0,1.3,1,1,13.5,Los Molinos Unified,622860.0,Tehama County,6103.0,3.0,CALIFORNIA,556,31.78,17.5
1141,los nietos,California,181.99,40.5,1,0,0,3,0,4,2,3,44.09,Los Nietos,622890.0,Los Angeles County,6037.0,4.0,CALIFORNIA,1379,61.9,22.28
1142,los olivos elementary,California,15.79,0,0,0,0,0,0,1,0,0,2.98,Los Olivos Elementary,622920.0,Santa Barbara County,6083.0,1.0,CALIFORNIA,155,9,17.22
1143,lost hills union elementary,California,52.85,1,0,0,0,1,0,0.95,0,0,30,Lost Hills Union Elementary,622950.0,Kern County,6029.0,2.0,CALIFORNIA,288,14.9,19.33
1144,lowell joint,California,252.4,31.35,1,0,0,4,0,7,5.8,4.6,49.82,Lowell Joint,623010.0,Los Angeles County,6037.0,6.0,CALIFORNIA,3139,122.6,25.6
1145,lps oakland r & d campus district,CALIFORNIA,44.31,1,3,0,0,1,0,2,1,0,7.65,LPS Oakland R & D Campus District,601967.0,Alameda County,6001.0,1.0,CALIFORNIA,492,23.66,20.79
1146,lucerne elementary,California,32.2,5.38,0,0,0,0,0,1,0,0,5.82,Lucerne Elementary,623040.0,Lake County,6033.0,1.0,CALIFORNIA,274,17,16.12
1147,lucerne valley unified,California,112.2,9.39,1,0.29,0,0.9,0,3.8,0,0,35.11,Lucerne Valley Unified,600015.0,San Bernardino County,6071.0,4.0,CALIFORNIA,843,50.96,16.54
1148,lucia mar unified,California,1055.96,171.45,14.59,16.05,0,4,0,30,17.4,14.8,205.69,Lucia Mar Unified,623080.0,San Luis Obispo County,6079.0,19.0,CALIFORNIA,9921,502.56,19.74
1149,luis valdez leadership academy district,CALIFORNIA,31.92,2,1.5,0,0,0,0,1,0,0,3.71,Luis Valdez Leadership Academy District,602038.0,Santa Clara County,6085.0,1.0,CALIFORNIA,343,16.66,20.59
1150,luther burbank,California,38,4,1,1,0,1,0,1,0,0,6,Luther Burbank,623130.0,Santa Clara County,6085.0,1.0,CALIFORNIA,475,21,22.62
1151,lynwood unified,California,1372.71,186.35,18.9,12,0,10,0,35.9,13.9,14,445.32,Lynwood Unified,623160.0,Los Angeles County,6037.0,19.0,CALIFORNIA,12791,530.34,24.12
1152,maac community charter district,CALIFORNIA,33.08,9,0,0,0,0,0,0,0,1,5,MAAC Community Charter District,601988.0,San Diego County,6073.0,1.0,CALIFORNIA,247,13.08,18.88
1153,madera county superintendent of schools,California,389.01,136,7,9,1,15,0,1,8,4,89,Madera County Superintendent of Schools,691017.0,Madera County,6039.0,5.0,CALIFORNIA,734,67.01,10.95
1154,madera unified,California,1932.18,145.48,47,55.46,5,20,0,59,32.4,21,519.07,Madera Unified,623340.0,Madera County,6039.0,28.0,CALIFORNIA,19941,914.2,21.81
1155,magnolia elementary,California,666.09,86.17,1,0,0,5,1,11,23.26,8,260.9,Magnolia Elementary,623430.0,Orange County,6059.0,9.0,CALIFORNIA,5385,225,23.93
1156,magnolia science academy 2 district,CALIFORNIA,40.51,2,0,0,0,2,0,2,0,1,8,Magnolia Science Academy 2 District,602319.0,Los Angeles County,6037.0,1.0,CALIFORNIA,464,20.51,22.62
1157,magnolia science academy 3 district,CALIFORNIA,43.01,1,0,1,0,4,0,1,0,0,12,Magnolia Science Academy 3 District,602194.0,Los Angeles County,6037.0,1.0,CALIFORNIA,417,21.01,19.85
1158,magnolia science academy 4 district,CALIFORNIA,16.5,0.5,0,0,0,0,0,2,0,0,5,Magnolia Science Academy 4 District,601678.0,Los Angeles County,6037.0,1.0,CALIFORNIA,100,8,12.5
1159,magnolia science academy 5 district,CALIFORNIA,24.5,2.5,0,0,0,1,0,2,0,0,3.33,Magnolia Science Academy 5 District,601885.0,Los Angeles County,6037.0,1.0,CALIFORNIA,290,13.67,21.21
1160,magnolia science academy 6 district,CALIFORNIA,14,1.5,0,0,0,0.8,0,1,0,0,2,Magnolia Science Academy 6 District,602205.0,Los Angeles County,6037.0,1.0,CALIFORNIA,163,7.2,22.64
1161,magnolia science academy 7 district,CALIFORNIA,27,4.5,0,0,0,0,0,2,0,0,7.5,Magnolia Science Academy 7 District,602254.0,Los Angeles County,6037.0,1.0,CALIFORNIA,294,11,26.73
1162,magnolia science academy bell district,CALIFORNIA,40,4,0,0,0,3,0,1,0,1,9,Magnolia Science Academy Bell District,601630.0,Los Angeles County,6037.0,1.0,CALIFORNIA,440,19,23.16
1163,magnolia science academy district,CALIFORNIA,59.55,2,1,0.92,0,3.3,0,1.5,0,1,10.08,Magnolia Science Academy District,601706.0,Los Angeles County,6037.0,1.0,CALIFORNIA,717,34.25,20.93
1164,magnolia science academy san diego district,CALIFORNIA,30,4,0,0,0,1.9,0,1,0,0,5,Magnolia Science Academy San Diego District,602387.0,San Diego County,6073.0,1.0,CALIFORNIA,441,16.1,27.39
1165,magnolia science academy santa ana district,CALIFORNIA,50.66,5.65,0,0,0,1.3,0,2,0,0,11.17,Magnolia Science Academy Santa Ana District,601461.0,Orange County,6059.0,1.0,CALIFORNIA,544,28.54,19.06
1166,magnolia union elementary,California,10.25,1.5,0,0,0,0.5,0,0,0,0,2,Magnolia Union Elementary,623460.0,Imperial County,6025.0,1.0,CALIFORNIA,134,5.25,25.52
1167,making waves academy district,CALIFORNIA,99.9,11,0,3.1,0,7.7,0,1,0,0,7,Making Waves Academy District,601502.0,Contra Costa County,6013.0,1.0,CALIFORNIA,1084,61.1,17.74
1168,mammoth unified,California,99.42,9,1,0,0,1,0,2.95,0,0,18.88,Mammoth Unified,623530.0,Mono County,6051.0,4.0,CALIFORNIA,1119,57.28,19.54
1169,manchester union elementary,California,8.19,2.33,0,0,0,1,0,0,0,0,0.86,Manchester Union Elementary,623550.0,Mendocino County,6045.0,1.0,CALIFORNIA,43,3,14.33
1170,manhattan beach unified,California,579.8,132.25,12.1,0,0,6.4,0,13,12.4,8.6,101.17,Manhattan Beach Unified,600025.0,Los Angeles County,6037.0,8.0,CALIFORNIA,6030,249.63,24.16
1171,manteca unified,California,2071.52,176.59,23,0,0,14,0,68,31.78,24,509.62,Manteca Unified,623610.0,San Joaquin County,6077.0,29.0,CALIFORNIA,23660,1043.15,22.68
1172,manzanita elementary,California,23.29,3.89,0,0,0.05,1,0,0,0,0,3.75,Manzanita Elementary,623700.0,Butte County,6007.0,1.0,CALIFORNIA,276,12.6,21.9
1173,manzanita middle district,CALIFORNIA,9,0,0,0,0,1,0,0,0,0,0,Manzanita Middle District,602358.0,Contra Costa County,6013.0,1.0,CALIFORNIA,91,7,13
1174,manzanita public charter district,CALIFORNIA,42.06,4.73,0,1,0,0.4,0,2,0.65,0.9,9.76,Manzanita Public Charter District,601719.0,Santa Barbara County,6083.0,1.0,CALIFORNIA,413,18,22.94
1175,maple creek elementary,California,1.65,0,0,0,0,0,0,0,0,0,0,Maple Creek Elementary,623730.0,Humboldt County,6023.0,1.0,CALIFORNIA,11,1.65,6.67
1176,maple elementary,California,25.8,6.75,0,0.5,0,0.55,0,1.45,0,1,3.8,Maple Elementary,623760.0,Kern County,6029.0,1.0,CALIFORNIA,288,10,28.8
1177,marconi learning academy district,CALIFORNIA,23.46,1,0,0,0,0,0,0.25,0.1,1.1,1.03,Marconi Learning Academy District,602377.0,Sacramento County,6067.0,1.0,CALIFORNIA,347,14.98,23.16
1178,marcum-illinois union elementary,California,25.62,5.01,0,0,0,0,0,1.1,0,0,7.26,Marcum-Illinois Union Elementary,623800.0,Sutter County,6101.0,1.0,CALIFORNIA,181,10,18.1
1179,mare island technology academy district,CALIFORNIA,24.17,1.02,0,0,0,1.68,0,0,0,0,5.3,Mare Island Technology Academy District,601783.0,Solano County,6095.0,1.0,CALIFORNIA,418,14.85,28.15
1180,maria montessori charter academy district,CALIFORNIA,29.52,4.1,0,0,0,0,0,0,0,0,5.62,Maria Montessori Charter Academy District,602053.0,Placer County,6061.0,1.0,CALIFORNIA,272,17.8,15.28
1181,maricopa unified,California,39.79,4.82,1,0,0,1.3,0,0.5,0,0,7.47,Maricopa Unified,623820.0,Kern County,6029.0,3.0,CALIFORNIA,318,20,15.9
1182,marin county office of education,California,208.88,72.23,0,13.98,0,5.71,1,0,12.66,3.32,13,Marin County Office of Education,691018.0,Marin County,6041.0,4.0,CALIFORNIA,310,32.98,9.4
1183,marin county rop,California,–,–,–,–,–,–,–,–,–,–,–,Marin County ROP,600117.0,Marin County,6041.0,1.0,CALIFORNIA,0,–,–
1184,marin pupil transportation agency jpa,California,–,–,†,–,–,–,–,–,–,–,–,Marin Pupil Transportation Agency JPA,601406.0,Marin County,6041.0,0.0,CALIFORNIA,†,†,†
